Sample Name,Replicate,Wavelength,Absorbance,Toxgreen Dir,Percent GpA,Day
Gpa,1,512,18611,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,99.09307113445975,2024-4-11_toxgreen
G83I,1,512,316,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,1.6825216527048135,2024-4-11_toxgreen
G2,1,512,-4040,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,-21.51071986369445,2024-4-11_toxgreen
NoTM,1,512,0,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,0.0,2024-4-11_toxgreen
2H11,1,512,21838,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,116.27502484736618,2024-4-11_toxgreen
1G2,1,512,1540,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,8.199630839131054,2024-4-11_toxgreen
RD2,1,512,5471,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,29.129987221354536,2024-4-11_toxgreen
LD23,1,512,7080,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,37.697004117563544,2024-4-11_toxgreen
LC4,1,512,7896,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,42.04174357518104,2024-4-11_toxgreen
LD21,1,512,15003,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,79.88250745420986,2024-4-11_toxgreen
L4,1,512,7223,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,38.45839840976857,2024-4-11_toxgreen
RWT3,1,512,13929,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,74.16406360925743,2024-4-11_toxgreen
L8,1,512,9869,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,52.54685503336647,2024-4-11_toxgreen
RC11,1,512,6073,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,32.335297458469405,2024-4-11_toxgreen
RC8,1,512,7695,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,40.97153201760614,2024-4-11_toxgreen
LC2,1,512,8034,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,42.77651568933693,2024-4-11_toxgreen
RD17,1,512,-3605,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,-19.19459037342042,2024-4-11_toxgreen
LWT3,1,512,13031,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,69.38272043163425,2024-4-11_toxgreen
LC9,1,512,3137,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,16.70275450802215,2024-4-11_toxgreen
2F12,1,512,5013,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,26.691395712054522,2024-4-11_toxgreen
RWT34,1,512,10192,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,54.26664773534006,2024-4-11_toxgreen
G3,1,512,-1040,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,-5.537413034218373,2024-4-11_toxgreen
LD9,1,512,6600,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-11_toxgreen,35.14127502484737,2024-4-11_toxgreen
