xShift,crossingAngle,axialRotation,zShift
6.9,-43.0,-50.0,0.5
7.1,-43.0,-40.0,0.5
6.7,-45.0,-55.0,1.5
7.5,-37.0,-100.0,2.5
7.1,-43.0,-100.0,6.0
6.9,-35.0,-65.0,4.5
7.3,-45.0,-65.0,3.0
7.3,-39.0,-85.0,4.5
6.7,-39.0,-40.0,0.0
7.3,-45.0,-80.0,2.5
7.5,-45.0,-35.0,0.0
7.3,-43.0,-35.0,0.5
7.5,-43.0,-65.0,5.5
7.3,-37.0,-45.0,2.0
7.1,-37.0,-55.0,4.0
6.9,-41.0,-75.0,4.0
6.9,-43.0,-65.0,3.0
6.9,-35.0,-90.0,5.0
7.1,-41.0,-60.0,1.0
6.5,-41.0,-50.0,0.0
7.5,-45.0,-75.0,5.0
7.3,-37.0,-45.0,2.5
7.5,-37.0,-65.0,4.0
7.3,-41.0,-30.0,1.5
7.3,-43.0,-65.0,1.0
7.5,-41.0,-60.0,0.5
7.1,-45.0,-70.0,2.5
6.7,-45.0,-75.0,4.5
6.5,-43.0,-60.0,3.5
7.5,-43.0,-30.0,2.5
6.7,-43.0,-45.0,2.0
6.5,-45.0,-50.0,1.0
7.5,-43.0,-60.0,5.5
6.5,-39.0,-75.0,5.0
7.5,-41.0,-25.0,0.5
6.9,-35.0,-70.0,5.0
6.5,-43.0,-50.0,2.0
7.5,-43.0,-95.0,5.5
6.7,-37.0,-35.0,0.5
6.5,-39.0,-60.0,3.0
6.7,-39.0,-35.0,0.0
6.7,-35.0,-85.0,5.0
7.5,-41.0,-60.0,1.0
7.3,-45.0,-40.0,3.0
6.7,-39.0,-40.0,1.0
7.5,-41.0,-55.0,0.5
7.5,-45.0,-85.0,5.5
6.9,-43.0,-65.0,5.5
6.5,-39.0,-85.0,6.0
7.5,-43.0,-95.0,4.0
6.9,-41.0,-60.0,4.0
7.1,-35.0,-40.0,2.0
7.1,-43.0,-60.0,1.5
7.5,-43.0,-50.0,0.5
7.1,-43.0,-60.0,4.5
6.7,-45.0,-60.0,1.0
7.5,-43.0,-85.0,0.5
7.3,-45.0,-35.0,0.5
6.9,-37.0,-40.0,0.0
6.7,-45.0,-80.0,6.0
7.5,-41.0,-100.0,5.0
6.5,-35.0,-65.0,2.5
6.7,-37.0,-70.0,4.5
6.9,-35.0,-80.0,6.0
6.7,-37.0,-75.0,5.0
7.5,-39.0,-80.0,5.0
7.5,-37.0,-50.0,4.5
7.1,-45.0,-65.0,2.5
6.7,-45.0,-85.0,5.0
7.3,-45.0,-95.0,4.0
7.5,-35.0,-85.0,5.5
6.9,-39.0,-65.0,4.5
6.9,-45.0,-45.0,1.0
6.7,-39.0,-80.0,3.5
6.9,-35.0,-65.0,2.5
7.5,-45.0,-70.0,5.0
6.7,-41.0,-70.0,4.5
7.5,-45.0,-100.0,4.0
6.7,-43.0,-50.0,0.0
7.3,-43.0,-80.0,3.0
7.5,-39.0,-60.0,1.5
7.5,-43.0,-60.0,0.5
6.7,-35.0,-65.0,4.5
6.5,-35.0,-50.0,0.0
7.3,-43.0,-85.0,3.0
7.3,-43.0,-60.0,2.5
7.3,-41.0,-45.0,3.0
7.5,-35.0,-45.0,2.5
6.9,-41.0,-85.0,4.5
7.3,-39.0,-50.0,1.0
6.7,-45.0,-50.0,2.5
7.1,-35.0,-60.0,1.0
6.9,-37.0,-70.0,2.5
7.5,-37.0,-85.0,4.5
7.5,-39.0,-95.0,0.0
6.5,-35.0,-80.0,3.5
7.5,-45.0,-20.0,1.0
6.7,-45.0,-50.0,1.5
6.5,-37.0,-60.0,1.5
7.3,-37.0,-80.0,3.0
7.5,-45.0,-85.0,6.0
7.1,-43.0,-80.0,4.5
6.5,-37.0,-70.0,5.5
6.9,-43.0,-55.0,2.5
7.1,-43.0,-35.0,0.5
7.5,-43.0,-70.0,5.5
7.5,-35.0,-95.0,0.5
6.5,-35.0,-50.0,1.0
6.9,-45.0,-65.0,0.5
7.3,-41.0,-55.0,2.5
7.1,-39.0,-70.0,1.0
7.1,-37.0,-95.0,6.0
6.5,-45.0,-70.0,5.5
6.7,-45.0,-45.0,0.5
6.7,-43.0,-75.0,3.0
7.1,-41.0,-40.0,2.5
7.3,-43.0,-50.0,3.0
7.5,-37.0,-35.0,3.0
7.1,-35.0,-75.0,5.0
7.1,-43.0,-75.0,3.0
7.5,-43.0,-100.0,4.5
7.5,-35.0,-95.0,3.5
6.7,-37.0,-75.0,4.0
7.3,-39.0,-70.0,3.5
6.9,-45.0,-35.0,1.0
7.5,-45.0,-60.0,3.0
6.7,-41.0,-55.0,0.5
7.3,-43.0,-50.0,1.5
7.5,-35.0,-80.0,2.0
6.7,-43.0,-55.0,1.5
7.5,-39.0,-80.0,2.0
6.5,-43.0,-85.0,4.0
7.1,-35.0,-70.0,2.5
7.5,-43.0,-50.0,1.0
7.1,-41.0,-90.0,6.0
