xShift,crossingAngle,axialRotation,zShift,energy
9.3,22.0,-16.6667,1.15,-5.418091
8.7,18.0,-50.0,6.15,-9.168458
8.7,20.0,-110.0,5.7,8.443372
8.5,18.0,-13.3333,2.0,-10.445893
9.3,22.0,-38.3333,5.075,6.206627
9.3,20.0,-48.3333,1.175,-0.074383
8.7,22.0,-58.3333,1.325,-6.348227
9.5,22.0,-100.0,5.55,-2.201065
8.5,24.0,-6.66667,1.0,5.922517
8.7,28.0,-8.33333,0.575,-3.785583
9.3,20.0,-101.667,2.425,-1.082575
9.1,24.0,-51.6667,5.725,-6.441744
9.1,20.0,-61.6667,1.825,-7.182151
9.3,24.0,-40.0,4.65,4.565668
9.1,26.0,-110.0,5.7,-3.345975
8.9,20.0,-15.0,1.575,-7.610089
9.1,28.0,-50.0,2.1,-0.938653
9.1,20.0,-48.3333,5.225,-5.55743
9.5,24.0,-95.0,6.825,-1.901012
8.9,22.0,-55.0,0.825,-0.976862
9.5,20.0,-58.3333,2.675,-4.790223
9.1,28.0,-45.0,3.375,8.825194
9.1,28.0,-6.66667,1.0,-6.1295
9.5,18.0,-55.0,2.175,-4.849173
9.5,28.0,-55.0,4.875,-4.202632
8.7,22.0,-110.0,4.35,5.204657
9.5,26.0,-105.0,6.975,-2.569696
9.1,22.0,-105.0,2.925,-4.089442
9.3,18.0,-103.333,4.7,-3.28014
8.9,28.0,-56.6667,1.75,-4.58164
9.1,28.0,-103.333,2.0,2.001788
9.5,26.0,-105.0,5.625,-2.928015
9.1,22.0,-106.667,2.5,-4.475258
9.1,24.0,-60.0,0.9,-6.469174
8.5,20.0,-13.3333,0.65,-12.247166
9.1,20.0,-70.0,1.05,-3.573454
9.3,22.0,-106.667,6.55,-3.501845
9.1,20.0,-110.0,7.05,0.733473
9.5,26.0,-106.667,5.2,-3.161351
9.5,24.0,-20.0,1.65,2.170603
9.1,18.0,-11.6667,1.075,-8.311031
9.5,22.0,-60.0,2.25,-4.669735
8.5,20.0,-65.0,0.975,-11.515711
9.3,24.0,-61.6667,3.175,-5.47638
9.3,20.0,-93.3333,4.55,3.900115
9.3,18.0,-93.3333,5.9,0.698374
9.5,20.0,-113.333,6.2,-0.055498
9.3,20.0,-63.3333,1.4,-5.865587
9.5,28.0,-95.0,1.425,2.712143
9.1,18.0,-106.667,3.85,-4.680492
9.3,24.0,-51.6667,1.675,-4.296581
9.5,26.0,-91.6667,6.325,-2.528949
8.5,26.0,-106.667,3.85,6.665942
8.9,28.0,-51.6667,1.675,3.199024
9.5,20.0,-93.3333,5.9,-1.166401
9.5,22.0,-63.3333,5.45,0.19717
9.5,18.0,-0.0,0.0,-4.173465
8.9,26.0,-63.3333,2.75,-6.427939
9.1,24.0,-55.0,0.825,-4.726957
9.3,26.0,-48.3333,1.175,-1.789054
9.1,18.0,-116.667,4.0,5.832563
8.7,22.0,-8.33333,0.575,-7.376919
9.1,28.0,-8.33333,0.575,-6.276218
9.5,20.0,-51.6667,4.375,-4.765431
9.3,28.0,-90.0,6.75,-1.943736
9.5,26.0,-43.3333,3.8,-2.348244
8.5,20.0,-10.0,0.15,-8.775767
8.5,28.0,-56.6667,4.45,-5.796434
8.7,22.0,-58.3333,2.675,-9.299954
9.5,20.0,-50.0,2.1,-4.232644
8.9,18.0,-100.0,5.55,-3.914152
9.3,24.0,-13.3333,0.65,-6.009636
9.5,28.0,-53.3333,3.95,-4.221614
9.1,28.0,-91.6667,6.325,-0.452134
9.3,28.0,-113.333,6.2,-1.73283
9.3,24.0,-91.6667,6.325,-0.910216
9.3,22.0,-108.333,6.125,-3.576948
9.5,24.0,-106.667,3.85,-3.169757
9.3,22.0,-56.6667,1.75,-5.525345
8.7,28.0,-98.3333,5.975,-2.638354
8.7,24.0,-15.0,0.225,-7.953701
9.5,26.0,-96.6667,3.7,-3.312264
9.1,24.0,-63.3333,1.4,-6.694902
8.9,24.0,-48.3333,5.225,0.858403
9.3,28.0,-43.3333,3.8,1.682714
9.5,26.0,-13.3333,0.65,-4.810115
9.3,18.0,-105.0,6.975,-3.026819
9.5,20.0,-98.3333,4.625,-1.874417
8.9,24.0,-66.6667,1.9,-4.821177
9.3,20.0,-103.333,6.05,-3.2686
9.5,28.0,-100.0,5.55,-3.728546
8.5,26.0,-61.6667,3.175,-6.13316
9.5,28.0,-88.3333,4.475,-0.212771
9.3,22.0,-110.0,3.0,-3.868243
9.5,28.0,-66.6667,1.9,-4.183159
9.5,24.0,-40.0,4.65,-1.222193
8.9,18.0,-13.3333,0.65,-9.783204
9.5,24.0,-86.6667,6.25,-0.178777
9.5,24.0,-108.333,4.775,-2.941232
9.3,26.0,-41.6667,5.575,0.686688
8.7,28.0,-68.3333,1.475,3.046668
9.5,18.0,-45.0,3.375,-3.384703
9.1,28.0,-111.667,6.625,-0.332889
9.5,24.0,-111.667,5.275,-3.04257
8.9,28.0,-60.0,4.95,9.000369
9.3,20.0,-91.6667,4.975,4.885246
9.5,20.0,-85.0,6.675,2.535974
8.5,28.0,-103.333,4.7,0.930981
9.5,20.0,-101.667,2.425,-2.020281
9.3,22.0,-63.3333,1.4,-5.693837
9.5,26.0,-61.6667,4.525,-3.592207
9.5,24.0,-95.0,1.425,1.78201
9.5,22.0,-56.6667,3.1,-4.670392
9.1,18.0,-55.0,6.225,-6.81452
9.5,18.0,-105.0,2.925,-2.313031
9.1,26.0,-60.0,2.25,-6.462214
8.9,24.0,-110.0,5.7,-0.101896
8.9,26.0,-53.3333,3.95,-4.655301
9.3,26.0,-101.667,5.125,-4.092423
8.7,22.0,-60.0,2.25,-9.679343
9.3,18.0,-60.0,6.3,-3.119713
8.7,24.0,-96.6667,6.4,4.323185
8.7,22.0,-108.333,3.425,-2.915188
9.5,22.0,-61.6667,3.175,-4.711188
9.5,24.0,-63.3333,5.45,3.120071
9.1,24.0,-15.0,0.225,-6.859093
9.3,22.0,-113.333,6.2,2.399821
9.5,28.0,-63.3333,1.4,-4.401378
8.5,20.0,-108.333,3.425,9.927191
8.5,24.0,-63.3333,1.4,-9.597039
9.5,18.0,-110.0,3.0,-2.507725
9.5,20.0,-110.0,7.05,-1.647427
8.5,20.0,-8.33333,0.575,-5.263571
9.5,20.0,-111.667,6.625,-1.125909
8.5,20.0,-58.3333,4.025,-11.538897
9.3,24.0,-5.0,0.075,-4.744247
8.9,22.0,-103.333,3.35,-2.032698
9.1,20.0,-110.0,3.0,-4.666029
9.3,24.0,-106.667,3.85,-4.05079
9.3,24.0,-98.3333,3.275,-0.781894
9.5,20.0,-93.3333,1.85,4.010908
9.1,28.0,-46.6667,1.6,7.154073
9.5,22.0,-115.0,5.775,0.83938
8.7,26.0,-56.6667,1.75,1.590685
8.5,20.0,-51.6667,5.725,-10.171672
9.3,24.0,-110.0,7.05,-2.006583
9.3,22.0,-55.0,0.825,-4.967083
9.5,28.0,-43.3333,1.1,-0.143927
9.3,28.0,-96.6667,2.35,4.405455
