xShift,crossingAngle,axialRotation,zShift,energy
6.5,-35.0,-100.0,6.9,-7.487371
6.5,-35.0,-46.6667,1.6,-1.392935
6.5,-35.0,-50.0,2.1,-11.981157
6.5,-35.0,-51.6667,1.675,-1.589854
6.5,-35.0,-53.3333,2.6,-16.14145
6.5,-35.0,-55.0,2.175,-17.723107
6.5,-35.0,-56.6667,1.75,-13.886492
6.5,-35.0,-56.6667,3.1,-17.133033
6.5,-35.0,-58.3333,1.325,-3.656947
6.5,-35.0,-58.3333,2.675,-20.306928
6.5,-35.0,-60.0,2.25,-19.469074
6.5,-35.0,-60.0,3.6,-16.989827
6.5,-35.0,-61.6667,1.825,-16.377733
6.5,-35.0,-61.6667,3.175,-20.250005
6.5,-35.0,-63.3333,1.4,-7.222624
6.5,-35.0,-63.3333,2.75,-20.315387
6.5,-35.0,-63.3333,4.1,-16.335689
6.5,-35.0,-65.0,2.325,-19.317086
6.5,-35.0,-65.0,3.675,-19.398985
6.5,-35.0,-66.6667,1.9,-15.505859
6.5,-35.0,-66.6667,3.25,-19.793285
6.5,-35.0,-66.6667,4.6,-15.397697
6.5,-35.0,-68.3333,1.475,6.638318
6.5,-35.0,-68.3333,2.825,-19.393255
6.5,-35.0,-68.3333,4.175,-18.266273
6.5,-35.0,-68.3333,5.525,8.893706
6.5,-35.0,-70.0,2.4,-16.537706
6.5,-35.0,-70.0,3.75,-18.825856
6.5,-35.0,-70.0,5.1,-14.303467
6.5,-35.0,-71.6667,1.975,4.119819
6.5,-35.0,-71.6667,3.325,-18.711338
6.5,-35.0,-71.6667,4.675,-17.07583
6.5,-35.0,-71.6667,6.025,8.370642
6.5,-35.0,-73.3333,2.9,-16.186335
6.5,-35.0,-73.3333,4.25,-17.730095
6.5,-35.0,-73.3333,5.6,-13.144849
6.5,-35.0,-75.0,2.475,7.352865
6.5,-35.0,-75.0,3.825,-17.819147
6.5,-35.0,-75.0,5.175,-15.971853
6.5,-35.0,-76.6667,3.4,-15.388304
6.5,-35.0,-76.6667,4.75,-16.653666
6.5,-35.0,-76.6667,6.1,-12.015877
6.5,-35.0,-78.3333,4.325,-16.860727
6.5,-35.0,-78.3333,5.675,-15.030498
6.5,-35.0,-80.0,3.9,-14.320346
6.5,-35.0,-80.0,5.25,-15.681734
6.5,-35.0,-80.0,6.6,-10.998154
6.5,-35.0,-81.6667,4.825,-15.900542
6.5,-35.0,-81.6667,6.175,-14.25997
6.5,-35.0,-83.3333,4.4,-13.058476
6.5,-35.0,-83.3333,5.75,-14.850055
6.5,-35.0,-85.0,5.325,-14.98603
6.5,-35.0,-85.0,6.675,-13.589121
6.5,-35.0,-86.6667,4.9,-11.704846
6.5,-35.0,-86.6667,6.25,-14.132731
6.5,-35.0,-88.3333,5.825,-14.139342
6.5,-35.0,-90.0,5.4,-10.377725
6.5,-35.0,-90.0,6.75,-13.424386
6.5,-35.0,-91.6667,6.325,-13.319872
6.5,-35.0,-93.3333,5.9,-9.184848
6.5,-35.0,-95.0,6.825,-12.476788
6.5,-35.0,-96.6667,6.4,-8.201993
6.5,-37.0,-100.0,6.9,-9.916092
6.5,-37.0,-35.0,0.525,1.084372
6.5,-37.0,-38.3333,1.025,1.872828
6.5,-37.0,-40.0,0.6,-16.743853
6.5,-37.0,-41.6667,1.525,5.6097
6.5,-37.0,-43.3333,1.1,-17.217372
6.5,-37.0,-45.0,0.675,3.260724
6.5,-37.0,-46.6667,1.6,-18.076959
6.5,-37.0,-48.3333,1.175,-11.705393
6.5,-37.0,-50.0,2.1,-18.825468
6.5,-37.0,-51.6667,1.675,-18.737645
6.5,-37.0,-53.3333,1.25,-12.72149
6.5,-37.0,-53.3333,2.6,-18.865506
6.5,-37.0,-55.0,0.825,-2.476635
6.5,-37.0,-55.0,2.175,-20.618514
6.5,-37.0,-56.6667,1.75,-19.439623
6.5,-37.0,-56.6667,3.1,-18.385091
6.5,-37.0,-58.3333,1.325,-16.55434
6.5,-37.0,-58.3333,2.675,-20.640915
6.5,-37.0,-60.0,0.9,-7.924895
6.5,-37.0,-60.0,2.25,-20.471807
6.5,-37.0,-60.0,3.6,-17.630253
6.5,-37.0,-61.6667,1.825,-19.37968
6.5,-37.0,-61.6667,3.175,-20.035611
6.5,-37.0,-63.3333,1.4,-15.813871
6.5,-37.0,-63.3333,2.75,-20.221794
6.5,-37.0,-63.3333,4.1,-16.689322
6.5,-37.0,-65.0,0.975,1.847311
6.5,-37.0,-65.0,2.325,-19.69635
6.5,-37.0,-65.0,3.675,-19.112931
6.5,-37.0,-66.6667,1.9,-17.25425
6.5,-37.0,-66.6667,3.25,-19.523582
6.5,-37.0,-66.6667,4.6,-15.682808
6.5,-37.0,-68.3333,1.475,-1.290987
6.5,-37.0,-68.3333,2.825,-19.304489
6.5,-37.0,-68.3333,4.175,-18.038154
6.5,-37.0,-68.3333,5.525,6.841142
6.5,-37.0,-70.0,2.4,-17.164706
6.5,-37.0,-70.0,3.75,-18.587076
6.5,-37.0,-70.0,5.1,-14.715194
