xShift,crossingAngle,axialRotation,zShift,energy
8.2,-35.0,-10.0,0.15,-2.661737
8.2,-35.0,-13.3333,0.65,-2.636344
8.2,-35.0,-15.0,0.225,-10.288968
8.2,-35.0,-16.6667,1.15,-2.289934
8.2,-35.0,-18.3333,0.725,-10.342847
8.2,-35.0,-20.0,0.3,-11.891405
8.2,-35.0,-20.0,1.65,-1.987127
8.2,-35.0,-21.6667,1.225,-10.349782
8.2,-35.0,-23.3333,0.8,-11.983122
8.2,-35.0,-23.3333,2.15,-1.554462
8.2,-35.0,-25.0,0.375,-12.31229
8.2,-35.0,-25.0,1.725,-10.335967
8.2,-35.0,-26.6667,1.3,-12.068576
8.2,-35.0,-26.6667,2.65,-0.615201
8.2,-35.0,-28.3333,0.875,-12.419501
8.2,-35.0,-28.3333,2.225,-10.181746
8.2,-35.0,-30.0,0.45,-12.557292
8.2,-35.0,-30.0,1.8,-12.03651
8.2,-35.0,-30.0,3.15,0.506614
8.2,-35.0,-31.6667,1.375,-12.434538
8.2,-35.0,-31.6667,2.725,-9.69909
8.2,-35.0,-33.3333,0.95,-12.607158
8.2,-35.0,-33.3333,2.3,-11.597763
8.2,-35.0,-33.3333,3.65,0.850867
8.2,-35.0,-35.0,0.525,-12.668643
8.2,-35.0,-35.0,1.875,-12.043401
8.2,-35.0,-35.0,3.225,-9.020383
8.2,-35.0,-36.6667,1.45,-12.280088
8.2,-35.0,-36.6667,2.8,-10.857301
8.2,-35.0,-36.6667,4.15,0.443704
8.2,-35.0,-38.3333,1.025,-12.455439
8.2,-35.0,-38.3333,2.375,-11.320165
8.2,-35.0,-38.3333,3.725,-8.285947
8.2,-35.0,-40.0,0.6,-11.991978
8.2,-35.0,-40.0,1.95,-11.602895
8.2,-35.0,-40.0,3.3,-9.993602
8.2,-35.0,-40.0,4.65,-0.100756
8.2,-35.0,-41.6667,1.525,-11.85069
8.2,-35.0,-41.6667,2.875,-10.441882
8.2,-35.0,-41.6667,4.225,-7.64711
8.2,-35.0,-43.3333,1.1,-11.419537
8.2,-35.0,-43.3333,2.45,-10.74275
8.2,-35.0,-43.3333,3.8,-9.197142
8.2,-35.0,-43.3333,5.15,-0.572718
8.2,-35.0,-45.0,0.675,-6.706504
8.2,-35.0,-45.0,2.025,-11.011203
8.2,-35.0,-45.0,3.375,-9.605316
8.2,-35.0,-45.0,4.725,-7.266853
8.2,-35.0,-46.6667,1.6,-10.478486
8.2,-35.0,-46.6667,2.95,-9.896752
8.2,-35.0,-46.6667,4.3,-8.682048
8.2,-35.0,-46.6667,5.65,-0.654393
8.2,-35.0,-48.3333,1.175,-4.789878
8.2,-35.0,-48.3333,2.525,-10.140524
8.2,-35.0,-48.3333,3.875,-9.034582
8.2,-35.0,-48.3333,5.225,-6.923374
8.2,-35.0,-50.0,2.1,-9.42642
8.2,-35.0,-50.0,3.45,-9.28641
8.2,-35.0,-50.0,4.8,-8.28989
8.2,-35.0,-50.0,6.15,-0.265272
8.2,-35.0,-51.6667,1.675,-2.507185
8.2,-35.0,-51.6667,3.025,-9.45982
8.2,-35.0,-51.6667,4.375,-8.662729
8.2,-35.0,-51.6667,5.725,-6.499823
8.2,-35.0,-53.3333,2.6,-8.502829
8.2,-35.0,-53.3333,3.95,-8.938177
8.2,-35.0,-53.3333,5.3,-7.86307
8.2,-35.0,-55.0,2.175,-0.005999
8.2,-35.0,-55.0,3.525,-9.089299
8.2,-35.0,-55.0,4.875,-8.265879
8.2,-35.0,-55.0,6.225,-6.026871
8.2,-35.0,-56.6667,3.1,-7.896762
8.2,-35.0,-56.6667,4.45,-8.575546
8.2,-35.0,-56.6667,5.8,-7.421218
8.2,-35.0,-58.3333,2.675,2.743442
8.2,-35.0,-58.3333,4.025,-8.725832
8.2,-35.0,-58.3333,5.375,-7.854134
8.2,-35.0,-60.0,3.6,-7.341207
8.2,-35.0,-60.0,4.95,-8.189004
8.2,-35.0,-60.0,6.3,-6.965477
8.2,-35.0,-61.6667,3.175,6.168212
8.2,-35.0,-61.6667,4.525,-8.336677
8.2,-35.0,-61.6667,5.875,-7.426333
8.2,-35.0,-63.3333,4.1,-6.782124
8.2,-35.0,-63.3333,5.45,-7.777189
8.2,-35.0,-65.0,3.675,9.587629
8.2,-35.0,-65.0,5.025,-7.92647
8.2,-35.0,-65.0,6.375,-6.985425
8.2,-35.0,-66.6667,4.6,-6.311907
8.2,-35.0,-66.6667,5.95,-7.343558
8.2,-35.0,-68.3333,4.175,9.821834
8.2,-35.0,-68.3333,5.525,-7.5096
8.2,-35.0,-70.0,5.1,-6.089595
8.2,-35.0,-70.0,6.45,-6.891741
8.2,-35.0,-71.6667,4.675,5.436081
8.2,-35.0,-71.6667,6.025,-7.106246
8.2,-35.0,-73.3333,5.6,-6.11419
8.2,-35.0,-75.0,5.175,0.615592
8.2,-35.0,-75.0,6.525,-6.687799
8.2,-35.0,-76.6667,6.1,-6.09029
8.2,-35.0,-78.3333,5.675,-1.298111
8.2,-35.0,-80.0,6.6,-5.762202
8.2,-35.0,-81.6667,6.175,-0.828162
8.2,-35.0,-85.0,6.675,0.778679
8.2,-37.0,-10.0,0.15,-6.996875
8.2,-37.0,-13.3333,0.65,-7.129726
8.2,-37.0,-15.0,0.225,-10.858793
8.2,-37.0,-16.6667,1.15,-6.984264
8.2,-37.0,-18.3333,0.725,-10.903273
8.2,-37.0,-20.0,0.3,-11.564624
8.2,-37.0,-20.0,1.65,-6.667901
